Sa. 01.10.2022,18:30,Jägerstraße 13  15806 Zossen, MSV Zossen,VfB Kiefholz III
Mo. 10.10.2022,19:30,Geibelstr. 12  10961 Berlin - Kreuzberg, Märkischer SC III,VfB Kiefholz III
Sa. 15.10.2022,17:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz III,SV Berliner Bären
So. 20.11.2022,17:00,Plänterwald 17  12435 Berlin, VfB Kiefholz III,BSG DRV Bund
Sa. 10.12.2022,16:30,Dessauer Str. 63  12249 Berlin - Steglitz, TuS Lichterfelde,VfB Kiefholz III
So. 18.12.2022,17:00,Plänterwald 17  12435 Berlin, VfB Kiefholz III,SG ProSport...endorf VII
Sa. 21.01.2023,17:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz III,Märkischer SC III
Sa. 11.02.2023,15:30,Auguste-Viktoria-Allee 95  13403 Berlin - Reinickendorf, SV Berliner Bären,VfB Kiefholz III
So. 12.02.2023,17:00,Plänterwald 17  12435 Berlin, VfB Kiefholz III,MSV Zossen
Fr. 24.02.2023,19:00,Cicerostraße 32  10709 Berlin - Charlottenburg, BSG DRV Bund,VfB Kiefholz III
So. 05.03.2023,17:00,Plänterwald 17  12435 Berlin, VfB Kiefholz III,TuS Lichterfelde
Sa. 18.03.2023,15:30,Am Hegewinkel 2  14169 Berlin - Zehlendorf, SG ProSport...endorf VII,VfB Kiefholz III
