So. 02.10.2022,13:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz II,SG Gaselan Fürstenwalde
Sa. 08.10.2022,14:00,Jakob-von-Gundling-Str. 25  14469 Potsdam, BC Potsdam II,VfB Kiefholz II
Sa. 15.10.2022,14:00,Im Kamp 7  14532 Kleinmachnow, RSV Eintracht,VfB Kiefholz II
So. 16.10.2022,13:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz II,SV Berliner...uereien VI
Sa. 19.11.2022,10:00,Güntzelstraße 34-35  10717 Berlin - Wilmersdorf, SG ProSport/Zehlendorf V,VfB Kiefholz II
Sa. 17.12.2022,16:00,Heidenheimer Straße 53/55  13467 Berlin - Hermsdorf, VfB Hermsdorf II,VfB Kiefholz II
So. 15.01.2023,10:00,Frankfurter Str. 67  15517 Fürstenwalde, SG Gaselan Fürstenwalde,VfB Kiefholz II
Sa. 21.01.2023,14:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz II,BC Potsdam II
So. 22.01.2023,13:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz II,RSV Eintracht
Sa. 11.02.2023,12:30,Templiner Str. 3  10119 Berlin - Prenzlauer Berg, SV Berliner...uereien VI,VfB Kiefholz II
So. 26.02.2023,13:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz II,SG ProSport/Zehlendorf V
Sa. 04.03.2023,14:00,Hasenhegerweg 12-18  12353 Berlin - Buckow, BG Neukölln II,VfB Kiefholz II
So. 19.03.2023,13:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz II,VfB Hermsdorf II
Mo. 18.12.2023,13:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz II,BG Neukölln II
