So. 02.10.2022,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz VI,BG Grünau
Sa. 08.10.2022,15:00,Plänterwald 17  12435 Berlin, VfB Kiefholz VI,VSG Altglienicke
So. 09.10.2022,10:00,Erich-Klausner-Str. 121a  15827 Blankenfelde, SG Luckau/B...nfelde III,VfB Kiefholz VI
So. 16.10.2022,11:00,Fuerstenwalder Allee 182  12589 Berlin Rahnsdorf, VSG Rahnsdorf,VfB Kiefholz VI
So. 20.11.2022,15:00,Pablo-Neruda-Str. 6-7  12559 Berlin - Köpenick, Köpenicker BC IV,VfB Kiefholz VI
So. 11.12.2022,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz VI,TSV Spandau III
Sa. 14.01.2023,15:00,Uranusstraße 17  12524 Berlin - Altglienicke, BG Grünau,VfB Kiefholz VI
So. 15.01.2023,14:00,Plänterwald 17  12435 Berlin, VfB Kiefholz VI,SG Luckau/B...nfelde III
So. 22.01.2023,16:00,Uranusstraße 17  12524 Berlin - Altglienicke, VSG Altglienicke,VfB Kiefholz VI
So. 12.02.2023,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz VI,VSG Rahnsdorf
So. 26.02.2023,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz VI,Köpenicker BC IV
So. 05.03.2023,13:00,Nonnendammallee 140/143  13599 Berlin - Spandau, TSV Spandau III,VfB Kiefholz VI
