So. 02.10.2022,16:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz,Märkischer SC
Fr. 07.10.2022,19:00,Lützowstraße 83-85  10785 Berlin - Tiergarten, TSV GutsMuths,VfB Kiefholz
So. 09.10.2022,10:00,Erich-Klausner-Str. 121a  15827 Blankenfelde, SG Luckau/B...enfelde II,VfB Kiefholz
Sa. 15.10.2022,09:30,Templiner Str. 3  10119 Berlin - Prenzlauer Berg, SV Berliner Brauereien V,VfB Kiefholz
So. 16.10.2022,16:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz,BC PreussenPark II
So. 13.11.2022,16:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz,WSV Germania
So. 20.11.2022,16:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz,SG Dresdeni...sstadt II
Sa. 17.12.2022,17:00,Brückenstr. 80 A  15562 Rüdersdorf, BC Schöneiche/Rüdersdorf,VfB Kiefholz
Fr. 06.01.2023,19:30,Geibelstr. 12  10961 Berlin - Kreuzberg, Märkischer SC,VfB Kiefholz
Sa. 14.01.2023,14:00,Kamenzer Damm 34  12249 Berlin - Lankwitz, BC PreussenPark II,VfB Kiefholz
So. 15.01.2023,16:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz,SG Luckau/B...enfelde II
Sa. 21.01.2023,15:00,Cottbuser Str. 22  03119 Welzow, WSV Germania,VfB Kiefholz
So. 22.01.2023,16:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz,TSV GutsMuths
So. 12.02.2023,16:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz,SV Berliner Brauereien V
So. 26.02.2023,19:00,Schlossstr. 1  14059 Berlin - Charlottenburg, SG Dresdeni...sstadt II,VfB Kiefholz
So. 19.03.2023,16:00,Frauenlobstraße 61  12437 Berlin, VfB Kiefholz,BC Schöneiche/Rüdersdorf
