So. 02.10.2022,14:00,Plänterwald 17  12435 Berlin, VfB Kiefholz V,PSV Berlin
So. 09.10.2022,15:00,Pablo-Neruda-Str. 6-7  12559 Berlin - Köpenick, Köpenicker BC,VfB Kiefholz V
Sa. 15.10.2022,15:00,Plänterwald 17  12435 Berlin, VfB Kiefholz V,SG Dresdeni...stadt III
Do. 20.10.2022,19:30,Kuno-Fischer-Str. 22 / Neue Kantstr.  14057 Berlin - Charlottenburg, Charlottenburger TSV II,VfB Kiefholz V
So. 20.11.2022,14:00,Plänterwald 17  12435 Berlin, VfB Kiefholz V,DIBVM
So. 11.12.2022,10:00,Frankfurter Str. 67  15517 Fürstenwalde, SG Gaselan ...enwalde II,VfB Kiefholz V
So. 18.12.2022,14:00,Plänterwald 17  12435 Berlin, VfB Kiefholz V,BG Neukölln III
Sa. 14.01.2023,10:00,Tempelhofer Ufer 18  10963 Berlin - Kreuzberg, PSV Berlin,VfB Kiefholz V
Sa. 21.01.2023,15:00,Plänterwald 17  12435 Berlin, VfB Kiefholz V,Köpenicker BC
So. 22.01.2023,16:30,Schlossstr. 1  14059 Berlin - Charlottenburg, SG Dresdeni...stadt III,VfB Kiefholz V
So. 12.02.2023,14:00,Plänterwald 17  12435 Berlin, VfB Kiefholz V,Charlottenburger TSV II
Sa. 25.02.2023,12:00,Rathenower Str. 18  10559 Berlin - Moabit, DIBVM,VfB Kiefholz V
So. 05.03.2023,14:00,Plänterwald 17  12435 Berlin, VfB Kiefholz V,SG Gaselan ...enwalde II
Sa. 18.03.2023,16:00,Hasenhegerweg 12-18  12353 Berlin - Buckow, BG Neukölln III,VfB Kiefholz V
